(0, BURNHAM HOUSE, 1610, WASHINGTON HTS, ANN ARBOR, MI, 48104-1700, 42.2804539, -83.7278092, 1000010, 0),
(70, TAUBMAN A ALFRED HEALTH SCIENCES LIBRARY, 1135, CATHERINE ST, ANN ARBOR, MI, 48109, 42.2835294, -83.7345337, 1000209, 0),
(71, JUNGE FAMILY CHAMPIONS CENTER, 333, STADIUM BLVD, ANN ARBOR, MI, 48104, 42.2640716, -83.7522512, 1005160, 0),
(72, 323  JOHN ST, 323, JOHN ST, ANN ARBOR, MI, 48104, 42.2731141, -83.7454266, 1005542, 0),
(73, BAITS VERA I SMITH HOUSE, 1220, HUBBARD ST, ANN ARBOR, MI, 48109-2030, 42.2953195, -83.7047363, 1000513, 0),
(74, WALL STREET WEST PARKING STRUCTURE, 959, WALL ST, ANN ARBOR, MI, 48105, 42.289318, -83.7385591, 1005430, 0),
(75, BAITS VERA II THIEME HOUSE, 1421, HUBBARD ST, ANN ARBOR, MI, 48109, 42.2953195, -83.7047363, 1000518, 0),
(76, NORTH CAMPUS RESEARCH COMPLEX BUILDING 28, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005264, 0),
(77, RAHS HLTH CTR PIONEER HIGH SCHOOL, 601, STADIUM BLVD, ANN ARBOR, MI, 48103, 42.2621878, -83.7506208, 1088008, 0),
(78, 1776 ELLSWORTH RD, 1776, ELLSWORTH RD, ANN ARBOR, MI, 48108-2407, 42.2293117, -83.7210237, 1005374, 0),
(79, MEDICAL SCIENCES RESEARCH BLDG I, 1150, MEDICAL CENTER DR, ANN ARBOR, MI, 48109-5600, 42.2845036, -83.7342888, 1000223, 0),
(80, NORTH CAMPUS RESEARCH COMPLEX BUILDING 10, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005253, 0),
(81, 1032 GREENE BUILDING, 1032, GREENE ST, ANN ARBOR, MI, 48109-1402, 42.2682794, -83.7478411, 1000816, 0),
(82, FUTURE PROBLEM SOLVING, 2500, PACKARD ST, ANN ARBOR, MI, 48104-6827, 42.2507236, -83.7234999, 1005021, 0),
(83, TOWSLEY CHILDRENS HOUSE, 710, FOREST AVE, ANN ARBOR, MI, 48109, 42.2734139, -83.7336178, 1005240, 0),
(84, INTERCOLLEGIATE SOCCER STADIUM, 2323, MAIN ST, ANN ARBOR, MI, 48103, 0.0, 0.0, 1005247, 0),
(85, UNIVERSITY HOSPITAL SOUTH UNIT 3, 1517, HOSPITAL DR, ANN ARBOR, MI, 48109, 42.2823309, -83.7285233, 1000314, 0),
(86, NORTH CAMPUS CHILLER PLANT, 2570, DRAPER DR, ANN ARBOR, MI, 48109-2115, 42.2925119, -83.7091228, 1005139, 0),
(87, FOREST AVE PARKING STRUCTURE, 650, FOREST AVE, ANN ARBOR, MI, 48104-3115, 42.2741264, -83.7336644, 1005049, 0),
(88, ATRIUM IV OFFICE CENTER, 1100, VICTORS WAY, ANN ARBOR, MI, 48108-5220, 42.2393601, -83.7332969, 1005447, 0),
(89, LACROSSE STADIUM, 2500, STATE ST, ANN ARBOR, MI, 48109, 42.249837, -83.739534, 1005395, 0),
(90, TAUBMAN A ALFRED BIOMEDICAL SCIENCE RESEARCH BLDG, 109, ZINA PITCHER PL, ANN ARBOR, MI, 48109-2200, 42.28187, -83.7345846, 1005037, 0),
(91, NAVAL ARCHITECTURE AND MARINE ENGINEERING, 2600, DRAPER DR, ANN ARBOR, MI, 48109-2145, 42.2930839, -83.7091305, 1000415, 0),
(92, COOLEY MORTIMER E BUILDING, 2355, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2104, 42.2906331, -83.7136628, 1000403, 0),
(93, ENGINEERING AUXILIARY BUILDING, 1075, BEAL AVE, ANN ARBOR, MI, 48109-2112, 42.2889301, -83.7144142, 1000420, 0),
(94, ANN ARBOR PLAZA, 1220, UNIVERSITY AVE, ANN ARBOR, MI, 48104-2585, 42.2680013, -83.7371635, 1005081, 0),
(95, 880 TECHNOLOGY DRIVE, 880, TECHNOLOGY DR, STE B, ANN ARBOR, MI, 48108, 0.0, 0.0, 1005495, 0),
(96, MEDICAL PROFESSIONAL BUILDING, 1522, SIMPSON DR, ANN ARBOR, MI, 48109-5718, 42.2829327, -83.7296879, 1000319, 0),
(97, LACROSSE TICKET BUILDING, 2510, STATE ST, ANN ARBOR, MI, 48109, 42.249747, -83.739531, 1005396, 0),
(98, TRACK AND FIELD STADIUM, 2560, STATE ST, ANN ARBOR, MI, 48109, 42.249297, -83.7395159, 1005397, 0),
(99, PERFORMANCE CENTER, 2530, STATE ST, ANN ARBOR, MI, 48109, 42.249567, -83.7395249, 1005399, 0),
(100, BARBOUR BETSY HOUSE, 420, STATE ST, ANN ARBOR, MI, 48109-1328, 42.2772997, -83.7415514, 1000051, 0),
(101, MATTHAEI BOT GDNS NORTH BARN #2, 2224, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9740, 42.3035784, -83.6641992, 1000978, 0),
(102, BAITS VERA II CROSS HOUSE, 1420, HUBBARD ST, ANN ARBOR, MI, 48109-2030, 42.2953195, -83.7047363, 1000517, 0),
(103, BAITS VERA II COMAN HOUSE, 1440, HUBBARD ST, ANN ARBOR, MI, 48109-2083, 42.2953195, -83.7047363, 1000515, 0),
(104, RADRICK FARMS FIRE BARN, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000962, 0),
(105, RADRICK FARMS BARN #1, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1000972, 0),
(106, RADRICK FARMS STORAGE, 4895, GEDDES RD, ANN ARBOR, MI, 48105-9515, 42.276735, -83.6927807, 1005048, 0),
(107, FIELD HOCKEY STADIUM, 1406, STATE ST, ANN ARBOR, MI, 48109, 42.2639553, -83.740513, 1005358, 0),
(108, BUHL LAWRENCE D RESEARCH CEN FOR HUMAN GENETICS, 1241, CATHERINE ST, ANN ARBOR, MI, 48109, 42.2834476, -83.733714, 1000210, 0),
(109, 202 SOUTH THAYER BUILDING, 202, THAYER ST, ANN ARBOR, MI, 48104, 42.2801066, -83.7399797, 1005179, 0),
(110, UMTRI AUXILIARY BUILDING 1,  ,  , ANN ARBOR, MI, 48109, 42.2813722, -83.7484616, 1005620, 0),
(111, FACILITIES SERVICES BUILDING A, 326, HOOVER AVE, ANN ARBOR, MI, 48109-1002, 42.2694603, -83.7462744, 1000800, 0),
(112, BURLINGTON OFFICE CENTER, 325, EISENHOWER PKWY, ANN ARBOR, MI, 48108-3364, 42.2443023, -83.7550752, 1005011, 0),
(113, 706 S DIVISION ST, 706, DIVISION ST, ANN ARBOR, MI, 48104, 42.2728971, -83.7444764, 1005524, 0),
(114, 716 S DIVISION ST, 716, DIVISION ST, ANN ARBOR, MI, 48104, 42.272499, -83.744487, 1005533, 0),
(115, RACKHAM HORACE H SCHOOL OF GRADUATE STUDIES, 915, WASHINGTON ST, ANN ARBOR, MI, 48109-1070, 42.2808664, -83.7382833, 1000172, 0),
(116, MED-INN, 1495, SIMPSON DR, ANN ARBOR, MI, 48109, 42.2836981, -83.730114, 1000308, 0),
(117, RADIATION SCIENCES LABORATORY 2, 2600, DRAPER DR, ANN ARBOR, MI, 48109-2145, 42.2930839, -83.7091305, 1000417, 0),
(118, NORTH CAMPUS SERVICE BLDG #1, 1655, DEAN RD, ANN ARBOR, MI, 48109-2159, 42.2963993, -83.6959615, 1000418, 0),
(119, NORTH CAMPUS RESEARCH COMPLEX BUILDING 30, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005265, 0),
(120, 439 S DIVISION STREET, 439, DIVISION ST, ANN ARBOR, MI, 48104, 42.2771617, -83.744035, 1005327, 0),
(121, RONALD MCDONALD HOUSE, 1600, WASHINGTON HTS, ANN ARBOR, MI, 48104-1700, 42.2804497, -83.7279083, 1000340, 0),
(122, HARPER DR E ROYSTER HALL, 355, HOOVER AVE, ANN ARBOR, MI, 48109, 42.2696315, -83.7460732, 1005618, 0),
(123, LIBERTY CENTRE, 520 - 540, LIBERTY ST, ANN ARBOR, MI, 48104-2210, 0.0, 0.0, 1000887, 0),
(124, BONISTEEL INTERDISCIPLINARY RESEARCH BUILDING, 2360, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2108, 42.2899728, -83.7135327, 1000402, 0),
(125, GERSTACKER CARL A BUILDING, 2200, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2099, 42.2895734, -83.7144789, 1000437, 0),
(126, 336  JOHN ST, 336, JOHN ST, ANN ARBOR, MI, 48104, 0.0, 0.0, 1005549, 0),
(127, 302 E MADISON ST, 302, MADISON ST, ANN ARBOR, MI, 48104, 42.2740517, -83.7461873, 1005551, 0),
(128, 1910 E ELLSWORTH ROAD, 1910, ELLSWORTH RD, ANN ARBOR, MI, 48108, 42.2303996, -83.7000531, 1005505, 0),
(129, MODERN LANGUAGES BUILDING, 812, WASHINGTON ST, ANN ARBOR, MI, 48109-1275, 42.280978, -83.7571946, 1000207, 0),
(130, OOSTERBAAN BENNIE FIELD HOUSE, 1202, STATE ST, ANN ARBOR, MI, 48104-3746, 42.2674744, -83.7405978, 1000704, 0),
(131, NORTH CAMPUS SUPPORT FACILITY, 2903, BAXTER RD, ANN ARBOR, MI, 48109, 42.2983743, -83.7017661, 1005334, 0),
(132, YOST ICE ARENA, 1116, STATE ST, ANN ARBOR, MI, 48104, 42.2687476, -83.7406442, 1000709, 0),
(133, BRIARWOOD 4, 355, BRIARWOOD CIR, ANN ARBOR, MI, 48108-1605, 42.2431614, -83.7450219, 1008042, 0),
(134, ROCHDALE COOP CENTER, 337, WILLIAM ST, ANN ARBOR, MI, 48104-2316, 42.2780166, -83.7445556, 1005197, 0),
(135, TEMPORARY TRANSPORTATION FLEET OFFICE BUILDING, 1209, KIPKE DR, ANN ARBOR, MI, 48109, 42.2664585, -83.7457423, 1005450, 0),
(136, 306 E MADISON ST, 306, MADISON ST, ANN ARBOR, MI, 48104, 0.0, 0.0, 1005553, 0),
(137, 332  JOHN ST, 332, JOHN ST, ANN ARBOR, MI, 48104, 42.2731141, -83.7454266, 1005546, 0),
(138, 8  MARSHALL CT, 8, MARSHALL CT, ANN ARBOR, MI, 48104, 42.2735175, -83.744678, 1005566, 0),
(139, NORTH CAMPUS RESEARCH COMPLEX BUILDING 550, 1600, HURON PKWY, ANN ARBOR, MI, 48109-2800, 42.297726, -83.704761, 1005282, 0),
(140, UNDERGRADUATE SCIENCE BUILDING, 204, WASHTENAW AVE, ANN ARBOR, MI, 48109-2215, 42.2797785, -83.7352589, 1005046, 0),
(141, ROUMANIS SQUARE, 715, UNIVERSITY AVE, ANN ARBOR, MI, 48104-1679, 42.2787899, -83.7400489, 1008054, 0),
(142, ARBOR LAKES 3, 4253, PLYMOUTH RD, ANN ARBOR, MI, 48105-2734, 42.2921349, -83.736384, 1008081, 0),
(143, CLIMATE AND SPACE RESEARCH BUILDING, 2455, HAYWARD ST, ANN ARBOR, MI, 48109-2143, 42.2943896, -83.7115837, 1000441, 0),
(144, INDUSTRIAL AND OPERATIONS ENGINEERING BUILDING, 1205, BEAL AVE, ANN ARBOR, MI, 48109-2117, 42.2910354, -83.7137182, 1000429, 0),
(145, NORTH CAMPUS RESEARCH COMPLEX BUILDING 90, 2800, PLYMOUTH RD, ANN ARBOR, MI, 48109-2800, 42.3024883, -83.7057586, 1005275, 0),
(146, MEDICAL CAMPUS SWITCH STATION SE, 1535, HOSPITAL DR, ANN ARBOR, MI, 48109, 42.2823309, -83.7285233, 1000323, 0),
(147, CENTRAL CAMPUS SUPPORT FACILITY, 1103, UNIVERSITY AVE, ANN ARBOR, MI, 48109, 42.275114, -83.735501, 1005379, 0),
(148, NEW PHARMACY TEMPORARY CONSTRUCTION TRAILER, 202, GLEN AVE, ANN ARBOR, MI, 48109, 42.2823926, -83.7354554, 1080011, 0),
(149, DAVIDSON WILLIAM PLAYER DEVELOPMENT CENTER, 1250, KIPKE DR, ANN ARBOR, MI, 48109, 42.2664585, -83.7457423, 1005289, 0),
(150, ART ARCHITECTURE BUILDING, 2000, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2069, 42.2895754, -83.7170503, 1000432, 0),
(151, 625 E LIBERTY STREET, 625, LIBERTY ST, ANN ARBOR, MI, 48104-2013, 42.2794821, -83.7411721, 1005295, 0),
(152, BRIARWOOD 3, 375, BRIARWOOD CIR, ANN ARBOR, MI, 48108-1605, 42.2427759, -83.7442161, 1008065, 0),
(153, CHEMISTRY AND DOW WILLARD H LABORATORY, 930, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1055, 42.278513, -83.7402942, 1000158, 0),
(154, NORTH CAMPUS RESEARCH COMPLEX BUILDING 200, 1600, HURON PKWY, ANN ARBOR, MI, 48109-2800, 42.297726, -83.704761, 1005277, 0),
(155, WEISER HALL, 500, CHURCH ST, ANN ARBOR, MI, 48109-1042, 42.2765005, -83.7350002, 1000165, 0),
(156, MICHIGAN UNION, 530, STATE ST, ANN ARBOR, MI, 48109-1308, 42.2751698, -83.7415127, 1000120, 0),
(157, BRIARWOOD 2, 400, EISENHOWER PKWY, ANN ARBOR, MI, 48108-3308, 42.2433882, -83.7525793, 1008030, 0),
(158, EISENHOWER CORPORATE PARK WEST, 2850, INDUSTRIAL HWY, ANN ARBOR, MI, 48104-6796, 42.2453092, -83.7309845, 1008072, 0),
(159, MEDICAL SCIENCE AUXILIARY BUILDING, 1235, CATHERINE ST, ANN ARBOR, MI, 48109, 42.2835564, -83.733204, 1000168, 0),
(160, DEAN ROAD TRANSPORTATION FACILITY, 1665, DEAN RD, ANN ARBOR, MI, 48109-2160, 42.2964461, -83.6958514, 1005491, 0),
(161, HAVEN HALL, 505, STATE ST, ANN ARBOR, MI, 48109-1045, 42.2765058, -83.7392287, 1000175, 0),
(162, WEST HALL, 1085, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1107, 42.2759102, -83.7363589, 1000167, 0),
(163, 415 CHURCH STREET, 415, CHURCH ST, ANN ARBOR, MI, 48109, 42.2771055, -83.7344553, 1005626, 0),
(164, MICHIGAN STADIUM, 1201, MAIN ST, ANN ARBOR, MI, 48104-3722, 0.0, 0.0, 1000711, 0),
(165, 608 S DIVISION ST, 608, DIVISION ST, ANN ARBOR, MI, 48104, 42.273845, -83.7444375, 1005527, 0),
(166, 322  JOHN ST, 322, JOHN ST, ANN ARBOR, MI, 48104, 42.2731141, -83.7454266, 1005541, 0),
(167, 425 CHURCH STREET, 425, CHURCH ST, ANN ARBOR, MI, 48109, 42.276853, -83.7344428, 1005603, 0),
(168, 1206 WASHTENAW COURT, 1206, WASHTENAW CT, ANN ARBOR, MI, 48104, 42.2771565, -83.7343535, 1005628, 0),
(169, 326 E MADISON ST, 326, MADISON ST, ANN ARBOR, MI, 48104, 42.2740598, -83.7457595, 1005557, 0),
(170, UPJOHN RACHEL BUILDING, 4250, PLYMOUTH RD, ANN ARBOR, MI, 48105-2735, 42.2921349, -83.736384, 1005117, 0),
(171, BUSINESS ADMIN EXECUTIVE DORM, 710, UNIVERSITY AVE, ANN ARBOR, MI, 48109-1219, 42.2727665, -83.7360815, 1000139, 0),
(172, WALGREEN CHARLES R JR DRAMA CENTER, 1226, MURFIN AVE, ANN ARBOR, MI, 48105-1212, 42.2919567, -83.7174266, 1005059, 0),
(173, 523 SOUTH DIVISION BUILDING, 523, DIVISION ST, ANN ARBOR, MI, 48104-2912, 42.2755098, -83.7440494, 1005287, 0),
(174, BAITS VERA II ZIWET HOUSE, 1441, HUBBARD ST, ANN ARBOR, MI, 48109, 42.2953195, -83.7047363, 1000519, 0),
(175, BAITS VERA I LEE HOUSE, 1310, HUBBARD ST, ANN ARBOR, MI, 48109-2030, 42.2953195, -83.7047363, 1000511, 0),
(176, NEW CENTRAL CAMPUS REC BLDG TEMP CONSTR TRAILER 1, 355, WASHTENAW AVE, ANN ARBOR, MI, 48109, 42.2593497, -83.7104997, 1080012, 0),
(177, ATHLETIC DEPARTMENT OPERATIONS CENTER, 1520, STATE ST, ANN ARBOR, MI, 48109, 42.2621831, -83.7407024, 1005371, 0),
(178, MATTHAEI BOT GDNS SUPT RESIDENCE, 1800, DIXBORO RD, ANN ARBOR TWP, MI, 48105-9741, 42.299677, -83.6618325, 1000985, 0),
(179, NUCLEAR ENGINEERING LABORATORIES, 2301, BONISTEEL BLVD, ANN ARBOR, MI, 48109-2100, 42.2907856, -83.7147447, 1000405, 0),
(180, TRANSPORTATION SERVICES BUILDING, 1213, KIPKE DR, ANN ARBOR, MI, 48109-2002, 42.2664585, -83.7457423, 1000808, 0),
(181, MARKLEY MARY BUTLER HALL, 1503, WASHINGTON HTS, ANN ARBOR, MI, 48109-2015, 42.2805995, -83.7282999, 1000060, 0),
(182, GORGUZE FAMILY LABORATORY, 2609, DRAPER DR, ANN ARBOR, MI, 48109-2101, 42.2932426, -83.7107187, 1000424, 0),
(183, COLLEGE OF PHARMACY BUILDING, 428, CHURCH ST, ANN ARBOR, MI, 48109-1065, 42.277216, -83.7347513, 1000230, 0),
(184, NORTH EAST CORPORATE CENTER 2, 2500, GREEN RD, ANN ARBOR, MI, 48105-4631, 0.0, 0.0, 1005069, 0),
